title,rating,quote,info
大鱼,8.8,,2003 / 美国 / 剧情 爱情 奇幻 冒险
七武士,9.3,,1954 / 日本 / 动作 冒险 剧情
惊魂记,9.0,,1960 / 美国 / 悬疑 惊悚 恐怖
射雕英雄传之东成西就,8.7,,1993 / 中国香港 / 喜剧 奇幻 武侠 古装
血战钢锯岭,8.7,,2016 / 澳大利亚 美国 / 剧情 传记 历史 战争
我是山姆,9.0,,2001 / 美国 / 剧情 家庭
你的名字。,8.5,,2016 / 日本 / 剧情 爱情 动画
阳光姐妹淘,8.8,,2011 / 韩国 / 剧情 喜剧
恐怖直播,8.7,,2013 / 韩国 / 剧情 犯罪 悬疑
黑客帝国3：矩阵革命,8.8,,2003 / 美国 / 动作 科幻
背靠背，脸对脸,9.5,,1994 / 中国大陆 中国香港 / 剧情
心灵奇旅,8.7,,2020 / 美国 / 动画 奇幻 音乐
电锯惊魂,8.7,,2004 / 美国 / 悬疑 惊悚 恐怖
三块广告牌,8.7,,2017 / 英国 美国 / 剧情 犯罪
小丑,8.7,,2019 / 美国 加拿大 / 剧情 犯罪 惊悚
达拉斯买家俱乐部,8.8,,2013 / 美国 / 剧情 传记 同性
谍影重重3,8.9,,2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚
疯狂原始人,8.7,,2013 / 美国 / 喜剧 动画 冒险
绿里奇迹,8.9,,1999 / 美国 / 犯罪 剧情 奇幻 悬疑
无间道2,8.8,,2003 / 中国香港 / 剧情 犯罪 惊悚
爱在午夜降临前,8.9,,2013 / 美国 希腊 / 剧情 爱情
海街日记,8.8,,2015 / 日本 / 剧情 家庭
上帝之城,9.0,,2002 / 巴西 法国 / 犯罪 剧情
风之谷,8.9,,1984 / 日本 / 动画 奇幻 冒险
英雄本色,8.6,,1986 / 中国香港 / 剧情 动作 犯罪
疯狂的石头,8.6,,2006 / 中国大陆 中国香港 / 喜剧 犯罪
雨中曲,9.1,,1952 / 美国 / 喜剧 歌舞 爱情
心迷宫,8.7,,2014 / 中国大陆 / 剧情 犯罪 悬疑
2001太空漫游,8.9,,1968 / 英国 美国 / 科幻 惊悚 冒险
纵横四海,8.8,,1991 / 中国香港 / 剧情 喜剧 动作 犯罪
记忆碎片,8.7,,2000 / 美国 / 犯罪 剧情 悬疑 惊悚
卢旺达饭店,8.9,,2004 / 英国 南非 意大利 美国 / 剧情 传记 历史 战争
末路狂花,9.0,,1991 / 美国 英国 法国 / 犯罪 剧情 惊悚
无敌破坏王,8.7,,2012 / 美国 / 喜剧 动画 奇幻 冒险
高山下的花环,9.5,,1984(中国大陆) / 1985 / 中国大陆 / 剧情 战争
小偷家族,8.7,,2018 / 日本 / 剧情 犯罪 家庭
冰川时代,8.6,,2002 / 美国 / 喜剧 动画 冒险
恐怖游轮,8.5,,2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚
东京教父,9.0,,2003 / 日本 / 剧情 喜剧 动画
牯岭街少年杀人事件,8.9,,1991 / 中国台湾 / 剧情 犯罪
岁月神偷,8.7,,2010 / 中国香港 中国大陆 / 剧情 家庭
魔女宅急便,8.7,,1989 / 日本 / 动画 奇幻 冒险
忠犬八公物语,9.2,,1987 / 日本 / 剧情
荒蛮故事,8.8,,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪
遗愿清单,8.7,,2007 / 美国 / 冒险 喜剧 剧情
大佛普拉斯,8.7,,2017 / 中国台湾 / 剧情 喜剧
贫民窟的百万富翁,8.6,,2008 / 英国 / 剧情 爱情
源代码,8.6,,2011 / 美国 加拿大 / 科幻 悬疑 惊悚
东邪西毒,8.6,,1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装
芙蓉镇,9.3,,1987 / 中国大陆 / 剧情 爱情
你看起来好像很好吃,8.9,,2010 / 日本 / 剧情 动画 儿童
疯狂的麦克斯4：狂暴之路,8.7,,2015 / 澳大利亚 美国 / 动作 科幻 冒险
可可西里,8.9,,2004 / 中国大陆 中国香港 / 剧情 犯罪
爆裂鼓手,8.6,,2014 / 美国 / 剧情 音乐
城市之光,9.3,,1931 / 美国 / 喜剧 剧情 爱情
波西米亚狂想曲,8.6,,2018 / 英国 美国 / 剧情 传记 同性 音乐
花束般的恋爱,8.6,,2021 / 日本 / 剧情 爱情
黑天鹅,8.6,,2010 / 美国 / 剧情 惊悚
爱乐之城,8.4,,2016 / 美国 / 剧情 爱情 歌舞
青蛇,8.6,,1993 / 中国香港 中国大陆 / 剧情 爱情 奇幻 古装
白日梦想家,8.6,,2013 / 美国 英国 / 剧情 喜剧 冒险
哈利·波特与死亡圣器(上),8.6,,2010 / 英国 美国 / 奇幻 冒险
终结者2：审判日,8.8,,1991 / 美国 法国 / 动作 科幻
初恋这件小事,8.5,,2010 / 泰国 / 剧情 喜剧 爱情
无耻混蛋,8.7,,2009 / 德国 美国 / 剧情 犯罪
雨人,8.7,,1988 / 美国 / 剧情
新龙门客栈,8.7,,1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装
人工智能,8.7,,2001 / 美国 英国 / 剧情 科幻
虎口脱险,8.9,,1966 / 法国 英国 / 喜剧 战争
真爱至上,8.5,,2003 / 英国 美国 法国 / 喜剧 剧情 爱情
崖上的波妞,8.6,,2008 / 日本 / 动画 奇幻 冒险
恋恋笔记本,8.5,,2004 / 美国 / 剧情 爱情
千钧一发,8.8,,1997 / 美国 / 剧情 科幻 惊悚
罗生门,8.8,,1950 / 日本 / 剧情 犯罪 悬疑
大红灯笼高高挂,8.8,,1991 / 中国大陆 中国香港 中国台湾 / 剧情
机器人之梦,9.1,,2023 / 西班牙 法国 / 剧情 动画 音乐
彗星来的那一夜,8.6,,2013 / 美国 英国 / 科幻 悬疑 惊悚
哈利·波特与凤凰社,8.5,,2007 / 英国 美国 / 奇幻 冒险
海边的曼彻斯特,8.6,,2016 / 美国 / 剧情 家庭
火星救援,8.5,,2015 / 英国 美国 匈牙利 约旦 / 剧情 科幻 冒险
黑客帝国2：重装上阵,8.7,,2003 / 美国 / 动作 科幻
奇迹男孩,8.6,,2017 / 美国 中国香港 / 剧情 儿童 家庭
萤火虫之墓,8.7,,1988 / 日本 / 动画 剧情 战争
战争之王,8.7,,2005 / 美国 德国 / 剧情 犯罪
千年女优,8.8,,2001 / 日本 / 动画 剧情 爱情
步履不停,8.8,,2008 / 日本 / 剧情 家庭
血钻,8.7,,2006 / 美国 德国 英国 / 剧情 惊悚 冒险
谍影重重2,8.7,,2004 / 美国 德国 / 动作 悬疑 惊悚
蜘蛛侠：平行宇宙,8.6,,2018 / 美国 / 动作 科幻 动画 冒险
魂断蓝桥,8.8,,1940 / 美国 / 剧情 爱情 战争
房间,8.8,,2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭
冰雪奇缘,8.5,,2013 / 美国 / 喜剧 动画 奇幻 歌舞
隐藏人物,8.9,,2016 / 美国 / 剧情 传记 历史
谍影重重,8.6,,2002 / 美国 德国 捷克 / 动作 悬疑 惊悚
弱点,8.7,,2009 / 美国 / 剧情 家庭 传记 运动
